   3   90   24   3     ! kAE, kLc, kmlt, kLat
 AE [nT]     L       MLT        Lat [0,10] LBC Bw [pT]       Lat [10,20] LBC Bw [pT]       Lat [20,30] LBC Bw [pT]
   0 100  1.65        15                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65        16                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65        17                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65        18                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65        19                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65        20                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65        21                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.65        22                 2.8910080e-01                 2.4603802e-01                 0.0000000e+00
   0 100  1.65        23                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75         0                 8.7765920e-01                 1.6780468e+00                 0.0000000e+00
   0 100  1.75         1                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75         2                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75         3                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75         4                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75         5                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75         6                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75         7                 0.0000000e+00                 6.4581415e-02                 0.0000000e+00
   0 100  1.75         8                 5.2649730e-02                 0.0000000e+00                 0.0000000e+00
   0 100  1.75         9                 4.7726669e-02                 4.6995014e-02                 0.0000000e+00
   0 100  1.75        10                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75        11                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75        12                 0.0000000e+00                 7.6552908e-02                 0.0000000e+00
   0 100  1.75        13                 0.0000000e+00                 1.6745284e-02                 0.0000000e+00
   0 100  1.75        14                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75        15                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75        16                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75        17                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75        18                 0.0000000e+00                 2.6512225e-02                 0.0000000e+00
   0 100  1.75        19                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75        20                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.75        21                 3.0245521e-01                 0.0000000e+00                 0.0000000e+00
   0 100  1.75        22                 2.6460400e-01                 2.3773377e-01                 0.0000000e+00
   0 100  1.75        23                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85         0                 3.2124117e-01                 1.6106316e+00                 0.0000000e+00
   0 100  1.85         1                 9.4463860e-01                 0.0000000e+00                 0.0000000e+00
   0 100  1.85         2                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85         3                 0.0000000e+00                 3.1365084e-01                 7.2042594e-01
   0 100  1.85         4                 0.0000000e+00                 6.4138170e-01                 0.0000000e+00
   0 100  1.85         5                 0.0000000e+00                 1.0711523e-01                 0.0000000e+00
   0 100  1.85         6                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85         7                 0.0000000e+00                 0.0000000e+00                 1.3898981e-01
   0 100  1.85         8                 0.0000000e+00                 1.9023824e-01                 1.1154661e-01
   0 100  1.85         9                 5.7598208e-02                 0.0000000e+00                 0.0000000e+00
   0 100  1.85        10                 2.1357977e-02                 0.0000000e+00                 0.0000000e+00
   0 100  1.85        11                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85        12                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85        13                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85        14                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85        15                 0.0000000e+00                 7.1636630e-02                 0.0000000e+00
   0 100  1.85        16                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85        17                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85        18                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85        19                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85        20                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85        21                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.85        22                 2.3379965e-01                 0.0000000e+00                 1.7706554e-01
   0 100  1.85        23                 0.0000000e+00                 3.9179308e-01                 0.0000000e+00
   0 100  1.95         0                 1.2172225e+00                 5.5762146e-01                 0.0000000e+00
   0 100  1.95         1                 7.2085567e-01                 0.0000000e+00                 0.0000000e+00
   0 100  1.95         2                 2.7766929e-01                 0.0000000e+00                 0.0000000e+00
   0 100  1.95         3                 0.0000000e+00                 8.5052742e-01                 2.2679600e-01
   0 100  1.95         4                 0.0000000e+00                 0.0000000e+00                 3.0065020e-01
   0 100  1.95         5                 0.0000000e+00                 0.0000000e+00                 7.8540943e-01
   0 100  1.95         6                 0.0000000e+00                 0.0000000e+00                 8.9337588e-01
   0 100  1.95         7                 0.0000000e+00                 0.0000000e+00                 1.9991724e-01
   0 100  1.95         8                 0.0000000e+00                 3.7745376e-01                 0.0000000e+00
   0 100  1.95         9                 8.2804033e-02                 7.5395136e-02                 0.0000000e+00
   0 100  1.95        10                 1.2961552e-02                 0.0000000e+00                 0.0000000e+00
   0 100  1.95        11                 0.0000000e+00                 0.0000000e+00                 0.0000000e+00
   0 100  1.95        12                 0.0000000e+00                 1.3781964e-02                 0.0000000e+00
